drug_name,chembl_id
heparin,CHEMBL4650299
sulfapyridine,CHEMBL700
histamine,CHEMBL90
secbutabarbital,
guanidine,CHEMBL821
theophylline,CHEMBL1355736
inulin,CHEMBL1201646
sulfur,CHEMBL1235452
ergocalciferol,CHEMBL1536
sulfadiazine,CHEMBL439
conjugated estrogens,
pethidine,
methylhomatropine,CHEMBL1201235
hydrocodone,CHEMBL1457
ethinylestradiol,
methamphetamine,CHEMBL1201201
dicoumarol,
tubocurarine,CHEMBL339427
sulfabenzamide,CHEMBL1243
sulfacetamide,CHEMBL455
sulfathiazole,CHEMBL437
nitrofurazone,CHEMBL869
glucose,
ethanol,
trimethadione,CHEMBL695
streptomycin,CHEMBL372795
diphenhydramine,CHEMBL657
dihydroergotamine,CHEMBL1732
dimercaprol,CHEMBL1597
folic acid,CHEMBL1622
ferrous sulfate,CHEMBL1200830
sodium tetradecyl sulfate,CHEMBL1200354
mephenytoin,CHEMBL861
methylergometrine,
dienestrol,CHEMBL1018
benzylpenicillin,
propylthiouracil,CHEMBL1518
methadone,CHEMBL651
tripelennamine,CHEMBL1241
tolazoline,CHEMBL770
doxylamine,CHEMBL1004
procaine benzylpenicillin,CHEMBL1628385
bacitracin,CHEMBL1200558
bethanechol,CHEMBL1482
lidocaine,CHEMBL79
epinephrine,CHEMBL679
caffeine,CHEMBL113
ergotamine,CHEMBL442
mechlorethamine,CHEMBL427
trihexyphenidyl,CHEMBL1490
vitamin A palmitate,CHEMBL1675
paramethadione,CHEMBL1100
crotamiton,CHEMBL6067975
cyanocobalamin,CHEMBL2110563
chloroquine,CHEMBL76
chlortetracycline,CHEMBL404520
aminosalicylic acid,CHEMBL1169
hyaluronidase,CHEMBL1201636
acetylsalicylic acid,
oxycodone,CHEMBL656
dicycloverine,
procainamide,CHEMBL640
cortisone acetate,CHEMBL1650
sulfasalazine,CHEMBL421
thiamazole,
corticotropin,CHEMBL1201610
quinidine,CHEMBL1294
norepinephrine,CHEMBL1437
secobarbital,CHEMBL447
chlorphenamine,
diethylcarbamazine,CHEMBL684
chloramphenicol,CHEMBL130
chloramphenicol succinate,
diprophylline,
promethazine,CHEMBL643
probenecid,CHEMBL897
edrophonium,CHEMBL1104
selenium sulfide,CHEMBL1200680
phenacemide,CHEMBL918
methanthelinium,
iopanoic acid,CHEMBL867
disulfiram,CHEMBL964
hydrocortisone acetate,CHEMBL1091
mephentermine,CHEMBL1201234
phenylephrine,CHEMBL1215
codeine,CHEMBL485
primaquine,CHEMBL506
phentolamine,CHEMBL597
leucovorin,CHEMBL1679
benzathine benzylpenicillin,
hydrocortisone,CHEMBL389621
suxamethonium,CHEMBL703
isoniazid,CHEMBL64
phenytoin,CHEMBL16
levorphanol,CHEMBL592
hydralazine,CHEMBL276832
pyrimethamine,CHEMBL36
phenoxybenzamine,CHEMBL753
nitrofurantoin,CHEMBL572
dexpanthenol,CHEMBL1200979
retinol,CHEMBL986
Vitamin E,CHEMBL3989727
nicotinamide,
riboflavin,CHEMBL1534
biotin,CHEMBL857
propantheline,CHEMBL1180725
methscopolamine,CHEMBL376897
thyrotropin alfa,CHEMBL1201533
proparacaine,CHEMBL1196
edetic acid,CHEMBL858
acetazolamide,CHEMBL20
mercaptopurine,CHEMBL1200751
sulfamethizole,CHEMBL1191
ergoloid mesylates,CHEMBL2311030
tetracycline,CHEMBL1440
methotrexate,CHEMBL34259
testosterone enantate,
benzatropine,
primidone,CHEMBL856
bromazine,
warfarin,CHEMBL1464
busulfan,CHEMBL820
procaine,CHEMBL569
piperazine,CHEMBL1412
estradiol valerate,CHEMBL1511
tridihexethyl,CHEMBL1201354
metaraminol,CHEMBL1201319
methoxsalen,CHEMBL416
prednisone,CHEMBL635
chloroprocaine,CHEMBL1179047
pyridostigmine,CHEMBL1115
hydroxychloroquine,CHEMBL1535
hydrocortisone succinate,
meprobamate,CHEMBL979
prednisolone acetate,CHEMBL1152
prednisolone,CHEMBL131
procyclidine,CHEMBL86715
fludrocortisone acetate,CHEMBL1201010
amfetamine,
dexamfetamine,
reserpine,CHEMBL772
methylphenidate,CHEMBL796
mecamylamine,CHEMBL267936
isoprenaline,
hydroxyzine,CHEMBL896
promazine,CHEMBL564
ambenonium,CHEMBL1652
liothyronine,CHEMBL1544
fluoxymesterone,CHEMBL1445
prochlorperazine,CHEMBL728
mepenzolate,CHEMBL524004
methsuximide,CHEMBL697
meclozine,
perphenazine,CHEMBL567
chlorambucil,CHEMBL515
Polymyxin B,CHEMBL5314354
neomycin,CHEMBL3989751
ethotoin,CHEMBL1095
sodium iodide (131I),
orphenadrine,CHEMBL900
methocarbamol,CHEMBL1201117
nicotinic acid,
dextropropoxyphene,
brompheniramine,CHEMBL811
triflupromazine,CHEMBL570
chlorpromazine,CHEMBL71
isopropamide,CHEMBL1201232
methylprednisolone,CHEMBL650
triamcinolone,CHEMBL1451
dextromethorphan,CHEMBL52440
phenprocoumon,CHEMBL1465
phenoxymethylpenicillin,
benzonatate,CHEMBL1374379
halothane,CHEMBL931
sodium polystyrene sulfonate,CHEMBL1201484
dihydrocodeine,CHEMBL1595
dichlorphenamide,CHEMBL17
chlorzoxazone,CHEMBL1371
chlorothiazide,CHEMBL842
chlorpropamide,CHEMBL498
dexamethasone,CHEMBL384467
methazolamide,CHEMBL19
indocyanine green,CHEMBL1646
hydrochlorothiazide,CHEMBL435
sodium phosphate (32P),
thiotepa,CHEMBL671
triamcinolone diacetate,CHEMBL1200449
oxymorphone,CHEMBL963
carisoprodol,CHEMBL1233
imipramine,CHEMBL11
trifluoperazine,CHEMBL422
phentermine,CHEMBL1574
sulfinpyrazone,CHEMBL832
methylprednisolone succinate,
methylprednisolone acetate,CHEMBL1364144
medroxyprogesterone,
isocarboxazid,CHEMBL1201168
chymotrypsin,CHEMBL1201465
hydroflumethiazide,CHEMBL1763
diethylpropion,CHEMBL1194666
biperiden,CHEMBL1101
fluphenazine,CHEMBL726
cyclophosphamide,CHEMBL1200796
bendroflumethiazide,CHEMBL1684
triamcinolone acetonide,CHEMBL1504
mepivacaine,CHEMBL1087
demeclocycline,CHEMBL1591
spironolactone,CHEMBL1393
tropicamide,CHEMBL1200604
chlordiazepoxide,CHEMBL451
trichlormethiazide,CHEMBL1054
chlortalidone,
acetic acid,CHEMBL539
chlormezanone,CHEMBL1200714
echothiophate,CHEMBL1201341
methohexital,CHEMBL7413
guanethidine,CHEMBL765
diphenoxylate,CHEMBL1201294
atropine,CHEMBL517712
methylclothiazide,
benzphetamine,CHEMBL3545985
ethosuximide,CHEMBL696
glucagon,CHEMBL5314341
propiomazine,CHEMBL1201210
pargyline,CHEMBL673
tranylcypromine,CHEMBL3989843
mestranol,CHEMBL1201151
norethynodrel,CHEMBL1387
acetophenazine,CHEMBL1085
amitriptyline,CHEMBL629
betamethasone,CHEMBL632
ethchlorvynol,CHEMBL591
phenelzine,CHEMBL1089
tolbutamide,CHEMBL782
thiethylperazine,CHEMBL1378
colchicine,CHEMBL107
glycopyrronium bromide,CHEMBL1201027
polythiazide,CHEMBL1587
cyproheptadine,CHEMBL516
metyrapone,CHEMBL934
dipyridamole,CHEMBL932
stanozolol,CHEMBL2079587
methysergide,CHEMBL1065
thioridazine,CHEMBL479
iopodic acid,
fluorouracil,CHEMBL185
colistin,CHEMBL6067481
tonzonium,
norethisterone,
metaxalone,CHEMBL1079604
griseofulvin,CHEMBL562
uracil mustard,CHEMBL1488
nandrolone decanoate,CHEMBL1200946
octatropine methylbromide,
methyldopa,CHEMBL459
methyldopate,CHEMBL1201233
fluocinolone acetonide,CHEMBL989
fludroxycortide,
idoxuridine,CHEMBL788
vincristine,CHEMBL90555
metronidazole,CHEMBL137
acetylcysteine,CHEMBL600
pseudoephedrine,CHEMBL1590
dexbrompheniramine,CHEMBL1201287
diazepam,CHEMBL12
nonoxinol,
melphalan,CHEMBL852
nalidixic acid,CHEMBL5
pralidoxime,CHEMBL1420
aminocaproic acid,CHEMBL1046
mannitol,CHEMBL689
erythromycin,CHEMBL532
cycloserine,CHEMBL771
nystatin,CHEMBL5465559
oxandrolone,CHEMBL1200436
trioxsalen,CHEMBL1475
triamterene,CHEMBL585
oxytetracycline,CHEMBL1517
vancomycin,CHEMBL262777
nortriptyline,CHEMBL445
amphotericin B,CHEMBL267345
desipramine,CHEMBL72
dactinomycin,CHEMBL1554
acetohexamide,CHEMBL1589
lincomycin,CHEMBL1447
betamethasone acetate,CHEMBL1200538
erythromycin ethyl succinate,
ethionamide,CHEMBL1441
collagenase,
oxazepam,CHEMBL568
sulfanilamide,CHEMBL21
indomethacin,CHEMBL6
chlorphenesin carbamate,CHEMBL607710
doxapram,CHEMBL1754
nafcillin,CHEMBL1443
vinblastine,CHEMBL159
prilocaine,CHEMBL1194
potassium chloride,CHEMBL1200731
trometamol,
ampicillin,CHEMBL174
thioguanine,CHEMBL727
etynodiol,
furosemide,CHEMBL35
tolazamide,CHEMBL817
allopurinol,CHEMBL1467
carbamide,
ethacrynic acid,CHEMBL456
clomifene,
clofibrate,CHEMBL565
fluphenazine enanthate,CHEMBL1200951
mefenamic acid,CHEMBL686
diphenidol,CHEMBL936
thiabendazole,CHEMBL625
haloperidol,CHEMBL54
dextrothyroxine,CHEMBL559
chlorprothixene,CHEMBL908
methenamine,CHEMBL1201270
pentazocine,CHEMBL100116
thiothixene,CHEMBL1201
betamethasone valerate,CHEMBL1497
protriptyline,CHEMBL668
ethambutol,CHEMBL44884
propranolol,CHEMBL27
doxycycline,CHEMBL1200699
hydroxycarbamide,
isosorbide dinitrate,CHEMBL6622
amantadine,CHEMBL660
fentanyl,CHEMBL596
carbamazepine,CHEMBL108
azathioprine,CHEMBL1542
deferoxamine,CHEMBL556
levonorgestrel,CHEMBL1389
dicloxacillin,CHEMBL893
gramicidin,CHEMBL1201469
paracetamol,
mafenide,CHEMBL419
paromomycin,CHEMBL370143
troleandomycin,CHEMBL564085
testolactone,CHEMBL1571
sutilains,CHEMBL1201495
cytarabine,CHEMBL803
hydroxyamfetamine,
procarbazine,CHEMBL1321
triamcinolone hexacetonide,CHEMBL1200878
protamine sulfate,CHEMBL1201651
doxepin,CHEMBL1628227
tyropanoate,
medrysone,CHEMBL1201173
flavoxate,CHEMBL1493
ketamine,CHEMBL742
clindamycin,CHEMBL1753
mesoridazine,CHEMBL1088
lithium carbonate,CHEMBL1200826
flurazepam,CHEMBL968
tetracosactide,
plicamycin,CHEMBL1237054
colistimethate sodium,CHEMBL1201441
levodopa,CHEMBL1009
droperidol,CHEMBL1108
gentamicin,CHEMBL6067485
mitotane,CHEMBL1670
penicillamine,CHEMBL1430
floxuridine,CHEMBL917
cefalexin,
calcium chloride,CHEMBL1200668
sodium lactate,CHEMBL1357
oxacillin,CHEMBL819
naloxone,CHEMBL80
rifampicin,
capreomycin,CHEMBL2221250
pyrazinamide,CHEMBL614
sulfafurazole,
naphazoline,CHEMBL761
minocycline,CHEMBL1434
fluocinonide,CHEMBL1501
spectinomycin,CHEMBL1167
megestrol acetate,CHEMBL1201139
sorbitol,CHEMBL1682
potassium acetate,CHEMBL1201058
phosphoric acid,CHEMBL1187
tretinoin,CHEMBL38
flucytosine,CHEMBL1463
desonide,CHEMBL1201109
fluorometholone,CHEMBL1200600
