drug_name,inchikey,smiles,disease_name,umls_cui,snomed_conceptid,approval_year,approval_source
heparin,,,Prevention of Cardiac Ischemia in Unstable Angina,,,1939,FDA
heparin,,,Maintain Patency of Indwelling Vascular Catheter,,,1939,FDA
heparin,,,Prevention of Recurrent Venous Thrombosis Associated with Malignancy,,,1939,FDA
heparin,,,Peripheral Arterial Thromboembolism Prevention,,,1939,FDA
heparin,,,Disseminated intravascular coagulation,C0012739,67406007.0,1939,FDA
heparin,,,Prevention of deep vein thrombosis,C2585945,439993001.0,1939,FDA
heparin,,,Pulmonary Thromboembolism Prevention,,,1939,FDA
heparin,,,Deep venous thrombosis,C0149871,128053003.0,1939,FDA
heparin,,,Peripheral arterial embolism,C0564750,286959000.0,1939,FDA
heparin,,,Pulmonary thromboembolism,C0524702,233935004.0,1939,FDA
heparin,,,Deep Vein Thrombosis with Pulmonary Embolism,,,1939,FDA
heparin,,,Prevention of Ischemic Complications of Non-Q Wave MI,,,1939,FDA
heparin,,,Non-Q wave myocardial infarction,C0542269,314207007.0,1939,FDA
sulfapyridine,GECHUMIMRBOMGK-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,Dermatitis herpetiformis,C0011608,111196000.0,1939,FDA
histamine,NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCC1=CN=CN1,Hyposensitization to allergens,C0162352,182678001.0,1939,FDA
histamine,NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCC1=CN=CN1,"Acute myeloid leukemia, disease",C0023467,91861009.0,1939,FDA
histamine,NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCC1=CN=CN1,Osteoarthritis,C0029408,396275006.0,1939,FDA
secbutabarbital,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Urinary Tract Irritation,,,1939,FDA
secbutabarbital,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Dysuria,C0013428,49650001.0,1939,FDA
secbutabarbital,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Severe anxiety (panic),C0231403,80583007.0,1939,FDA
secbutabarbital,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Insomnia,C0917801,193462001.0,1939,FDA
guanidine,ZRALSGWEFCBTJO-UHFFFAOYSA-N,NC(N)=N,Eaton-Lambert syndrome,C0022972,56989000.0,1939,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Asthma-chronic obstructive pulmonary disease overlap syndrome,C4038730,1.0692761000119108e+16,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Bronchitis,C0006277,32398004.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Pulmonary emphysema,C0034067,87433001.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Acute exacerbation of asthma,C0347950,708038006.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Bronchospasm,C0006266,4386001.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Asthma management,C1318955,406162001.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Asthma,C0004096,195967001.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,COPD Associated with Chronic Bronchitis,,,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Asthma night-time symptoms,C1273489,395022009.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Disorder of lung,C0024115,19829001.0,1940,FDA
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,CN1C2=C(N=CN2)C(=O)N(C)C1=O,Chronic Obstructive Pulmonary Disease with Bronchospasms,,,1940,FDA
inulin,,,Renal function study,C0022662,44277000.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Seborrheic dermatitis,C0036508,50563003.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Greasy skin,C0234925,42273000.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Acneiform eruption,C0175167,402644006.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Pityriasis simplex,C0423775,200767005.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Acute necrotizing ulcerative gingivitis,C0017575,399050001.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Aphthous ulcer of mouth,C0038363,426965005.0,1940,FDA
sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],Acne vulgaris,C0001144,88616000.0,1940,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Vitamin deficiency,C1510471,85670002.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Vitamin D deficiency,C0042870,34713006.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Vitamin D Dependent Rickets,,,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Rickets,C0035579,41345002.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Hyperparathyroidism Secondary to Chronic Renal Failure with Dialysis,,,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Osteoporosis,C0029456,64859006.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Hypogonadal Osteoporosis in Males,,,1941,FDA
