disease_id,disease_name
EFO_0003060,obsolete_non-small cell lung carcinoma
EFO_0001071,obsolete_lung carcinoma
EFO_0010116,choline measurement
EFO_0004995,lean body mass
MONDO_0005147,type 1 diabetes mellitus
MONDO_0004992,cancer
MONDO_0016660,autosomal recessive primary microcephaly
HP_0002017,Nausea and vomiting
EFO_0007486,obsolete_sinusitis
EFO_0022041,response to tramadol
EFO_0001356,obsolete_familial amyotrophic lateral sclerosis
MONDO_0004979,asthma
EFO_0000341,obsolete_chronic obstructive pulmonary disease
EFO_0000677,obsolete_mental or behavioural disorder
EFO_0004895,obsolete_Tourette syndrome
OBA_1000110,bone density
EFO_0007319,obsolete_hyperprolactinemia
HP_0001742,Nasal obstruction
MONDO_0004985,bipolar disorder
EFO_0008533,obsolete_dyspepsia
EFO_0007214,obsolete_common cold
HP_0012735,Cough
HP_0002013,Vomiting
EFO_0003956,obsolete_seasonal allergic rhinitis
EFO_0005751,obsolete_eye allergy
EFO_0000537,obsolete_hypertension
EFO_0003756,obsolete_autism spectrum disorder
EFO_0005252,obsolete_orthostatic hypotension
MONDO_0005575,colorectal cancer
EFO_0000768,idiopathic pulmonary fibrosis
EFO_0001645,obsolete_coronary artery disease
EFO_0005091,monocyte count
MONDO_0014704,skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome
MONDO_0032913,"congenital heart defects, multiple types, 7"
EFO_1001901,obsolete_neuroendocrine neoplasm
EFO_0009448,obsolete_pulmonary fibrosis
OBA_2050068,serum albumin amount
EFO_0006788,obsolete_anxiety disorder
MONDO_0007079,alcohol dependence
EFO_0007453,obsolete_postpartum depression
EFO_0004263,obsolete_partial epilepsy
EFO_0005058,tyrosine measurement
EFO_0004530,triglyceride measurement
OBA_0003460,erythrocyte volume
EFO_0800371,octadecanedioylcarnitine (C18-DC) measurement
MONDO_0005148,type 2 diabetes mellitus
EFO_0000612,obsolete_myocardial infarction
EFO_0003086,obsolete_kidney disease
EFO_0004509,hemoglobin measurement
MONDO_0100255,adenosine kinase deficiency
EFO_0005757,vaginal inflammation
EFO_0002609,obsolete_juvenile idiopathic arthritis
MONDO_0002258,pharyngitis
HP_0001643,Patent ductus arteriosus
EFO_0000729,ulcerative colitis
MONDO_0000831,thrombotic disease
Orphanet_733,Familial adenomatous polyposis
EFO_1001375,obsolete_Myocardial Ischemia
EFO_0000712,cerebrovascular accident
EFO_0002913,obsolete_Cutaneous T-cell lymphoma
OBA_VT0001253,body height
EFO_0008546,obsolete_poisoning
MONDO_0005301,multiple sclerosis
MONDO_0004975,Alzheimer disease
EFO_1000060,obsolete_intestinal disaccharide deficiency and disaccharide malabsorption
EFO_1001051,obsolete_mycosis fungoides
EFO_0000565,leukemia
EFO_0005558,obsolete_hemolytic anemia
EFO_0003894,obsolete_acne
EFO_0000731,obsolete_uterine fibroid
MONDO_0008728,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
EFO_0007160,obsolete_autoimmune thrombocytopenic purpura
MONDO_0003937,spondylitis
MONDO_0001134,essential hypertension
MONDO_0004773,iridocyclitis
EFO_0000676,obsolete_psoriasis
EFO_0000574,obsolete_lymphoma
EFO_0004255,nephrotic syndrome
EFO_0000616,neoplasm
HP_0006536,Airway obstruction
MONDO_0001572,leiomyoma
EFO_0004714,sexual dysfunction
EFO_1001417,"obsolete_Rhinitis, Allergic, Perennial"
EFO_0006336,diastolic blood pressure
EFO_0005611,obsolete_opioid dependence
EFO_0003888,obsolete_attention deficit hyperactivity disorder
MONDO_0005041,glaucoma
MONDO_0005271,allergic disease
EFO_0005251,obsolete_hypotension
HP_0001945,Fever
EFO_0000319,cardiovascular disease
MONDO_0015277,medullary thyroid gland carcinoma
EFO_0000339,chronic myelogenous leukemia
EFO_0004833,neutrophil count
MONDO_0054695,"myopathy, centronuclear, 6, with fiber-type disproportion"
MONDO_0024519,renal hypodysplasia/aplasia 1
EFO_0000239,obsolete_adrenal gland pheochromocytoma
EFO_0000681,obsolete_renal cell carcinoma
EFO_0004532,serum gamma-glutamyl transferase measurement
MONDO_0004643,myeloid leukemia
EFO_1001480,metastatic colorectal cancer
Orphanet_98994,Total congenital cataract
MONDO_0015356,hereditary neoplastic syndrome
HP_0001657,Prolonged QT interval
MONDO_0017910,dehydrated hereditary stomatocytosis
EFO_0000764,obsolete_HIV infection
MONDO_0010979,Timothy syndrome
EFO_0005754,obsolete_parathyroid disease
Orphanet_93160,Hypocalcemic vitamin D-resistant rickets
EFO_0009451,obsolete_hypoparathyroidism
MONDO_0044300,familial adenomatous polyposis 4
EFO_0009373,edema
HP_0001250,Seizure
MONDO_0018997,Noonan syndrome
HP_0000155,Oral ulcer
EFO_0021901,cholesterol in large LDL measurement
OBA_1001011,phospholipid level
MONDO_0001336,familial hyperlipidemia
EFO_0022276,free cholesterol in VLDL measurement
EFO_0920021,cholesteryl esters in VLDL measurement
EFO_0022294,phospholipids in LDL measurement
EFO_0010733,polyunsaturated fatty acid measurement
EFO_0022148,total lipids in small VLDL
OBA_0003277,platelet volume
EFO_0004541,HbA1c measurement
EFO_0004611,low density lipoprotein cholesterol measurement
EFO_0004615,apolipoprotein B measurement
EFO_0004527,mean corpuscular hemoglobin
EFO_1002017,obsolete_differentiated thyroid carcinoma
EFO_0004458,C-reactive protein measurement
EFO_0007989,monocyte percentage of leukocytes
EFO_0005804,obsolete_polycythemia
EFO_0004587,lymphocyte count
EFO_0005772,obsolete_neurodegenerative disease
EFO_0004617,cystatin C measurement
EFO_0004627,IGF-1 measurement
HP_0000964,Eczematoid dermatitis
EFO_0022265,free cholesterol in large VLDL measurement
EFO_1001395,obsolete_Phlebitis
EFO_0004612,high density lipoprotein cholesterol measurement
EFO_0009050,Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
MONDO_0100283,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes
HP_0003418,Back pain
EFO_0009846,muscle cramp
MONDO_0002050,depressive disorder
EFO_1000453,obsolete_Paraganglioma
EFO_0005917,obsolete_generalised epilepsy
MONDO_0007844,hypogonadotropic hypogonadism 2 with or without anosmia
MONDO_0003060,biliary tract cancer
MONDO_0014658,severe achondroplasia-developmental delay-acanthosis nigricans syndrome
OBA_1000032,hip circumference
MONDO_0007793,hypochondroplasia
EFO_0000571,obsolete_lung adenocarcinoma
EFO_0005541,obsolete_bone development disease
EFO_0004344,birth weight
EFO_1000172,obsolete_cervical squamous cell carcinoma
EFO_1000566,obsolete_Testicular Germ Cell Tumor
Orphanet_85165,Severe achondroplasia - developmental delay - acanthosis nigricans
Orphanet_140162,Inherited cancer-predisposing syndrome
EFO_0004614,apolipoprotein A 1 measurement
OBA_1001087,heart rate
EFO_0006335,systolic blood pressure
MONDO_0003406,sleep-wake disorder
MONDO_0014944,short stature-brachydactyly-obesity-global developmental delay syndrome
MONDO_0019625,familial thoracic aortic aneurysm and aortic dissection
EFO_0003096,obsolete_Pick disease
EFO_0005854,obsolete_allergic rhinitis
EFO_0004190,obsolete_open-angle glaucoma
MONDO_0004247,peptic ulcer disease
EFO_0009869,xerostomia
EFO_0006928,motion sickness
EFO_0000400,diabetes mellitus
EFO_0008560,obsolete_female infertility
EFO_0004314,forced expiratory volume
EFO_0003882,obsolete_osteoporosis
EFO_0004324,body weights and measures
EFO_0009270,heel bone mineral density
EFO_0004842,eosinophil count
HP_0001249,Intellectual disability
MONDO_0013578,DYRK1A-related intellectual disability syndrome
MONDO_0008170,ovarian cancer
OBA_2050096,serum creatinine amount
HP_0002140,Ischemic stroke
MONDO_0018660,hemophilia
EFO_0003929,obsolete_relapsing-remitting multiple sclerosis
MONDO_0005149,pulmonary hypertension
EFO_0009188,Red cell distribution width
EFO_0000275,obsolete_atrial fibrillation
MONDO_0005090,schizophrenia
EFO_0000474,epilepsy
EFO_0010282,gastrointestinal disease
MONDO_0002009,major depressive disorder
MONDO_0007254,breast cancer
EFO_0000558,obsolete_Kaposi's sarcoma
MONDO_0004986,urinary bladder carcinoma
EFO_0002918,obsolete_rhabdomyosarcoma
EFO_1001450,obsolete_Wolff-Parkinson-White Syndrome
MONDO_0019514,hepatic veno-occlusive disease
HP_0002315,Headache
OBA_VT0010046,fatty acid amount
EFO_0008589,esterified cholesterol measurement
Orphanet_35173,X-linked dominant chondrodysplasia punctata
MONDO_0022113,central centrifugal cicatricial alopecia
MONDO_0008621,uncombable hair syndrome
EFO_0022281,free cholesterol to total lipids in large VLDL percentage
MONDO_0009315,congenital factor XII deficiency
EFO_1000760,obsolete_rosacea
MONDO_0011198,"spondyloepimetaphyseal dysplasia, Missouri type"
Orphanet_98914,Presynaptic congenital myasthenic syndromes
Orphanet_88632,Familial ocular anterior segment mesenchymal dysgenesis
Orphanet_207,Crouzon disease
MONDO_0001056,gastric cancer
EFO_0009118,female reproductive endometrioid cancer
EFO_0000180,HIV-1 infection
EFO_0004309,platelet count
EFO_0022312,total lipids in very large HDL measurement
EFO_0022278,free cholesterol to total lipids in IDL percentage
EFO_0022330,triglycerides to total lipids in large HDL percentage
EFO_0020944,cholesteryl esters:total lipids ratio
EFO_0000508,obsolete_genetic disorder
MONDO_0004976,amyotrophic lateral sclerosis
OBA_0003747,glomerular filtration rate
EFO_0004533,alkaline phosphatase measurement
EFO_0008526,status epilepticus
HP_0000739,Anxiety
MONDO_0800166,Knobloch syndrome
MONDO_0030894,"AMED syndrome, digenic"
EFO_0022288,free cholesterol to total lipids in very large HDL percentage
EFO_0000211,obsolete_unspecified peripheral T-cell lymphoma
MONDO_0010679,Duchenne muscular dystrophy
MONDO_0016532,Lennox-Gastaut syndrome
EFO_0009767,glycine measurement
MONDO_0010622,recessive X-linked ichthyosis
OBA_VT0000217,leukocyte quantity
MONDO_0010946,hypertrophic cardiomyopathy 6
MONDO_0014920,patterned macular dystrophy 3
MONDO_0008824,fetal akinesia deformation sequence
MONDO_0100101,fetal akinesia deformation sequence 1
MONDO_0008959,CHAND syndrome
