id,name
MONDO_0000001,disease
MONDO_0000004,adrenocortical insufficiency
MONDO_0000005,"alopecia, isolated"
MONDO_0000009,"inherited bleeding disorder, platelet-type"
MONDO_0000014,"colorblindness, partial"
MONDO_0000015,classic complement early component deficiency
MONDO_0000023,infantile liver failure
MONDO_0000030,familial sleep-related hypermotor epilepsy
MONDO_0000032,"febrile seizures, familial"
MONDO_0000044,hereditary hypophosphatemic rickets
MONDO_0000045,"hypothyroidism, congenital, nongoitrous"
MONDO_0000050,isolated congenital growth hormone deficiency
MONDO_0000060,microcephalic osteodysplastic primordial dwarfism
MONDO_0000062,isolated microphthalmia
MONDO_0000066,mitochondrial respiratory chain complex deficiency
MONDO_0000078,acrocephalopolysyndactyly
MONDO_0000079,"nephrolithiasis/osteoporosis, hypophosphatemic"
MONDO_0000087,polymicrogyria
MONDO_0000088,precocious puberty
MONDO_0000090,progressive external ophthalmoplegia with mitochondrial DNA deletions
MONDO_0000104,"anemia, hypochromic microcytic with iron overload"
MONDO_0000105,"anemia, nonspherocytic hemolytic"
MONDO_0000107,auriculocondylar syndrome
MONDO_0000110,bifid nose
MONDO_0000111,"camptodactyly syndrome, Guadalajara"
MONDO_0000114,cerebelloparenchymal disorder
MONDO_0000115,Chiari malformation
MONDO_0000118,reticulate pigment disorder
MONDO_0000119,"congenital heart defects, multiple types"
MONDO_0000127,geleophysic dysplasia
MONDO_0000128,giant axonal neuropathy
MONDO_0000129,glutaric aciduria
MONDO_0000133,immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO_0000136,keratosis follicularis spinulosa decalvans
MONDO_0000137,"leukoencephalopathy, megalencephalic"
MONDO_0000138,metaphyseal chondrodysplasia
MONDO_0000141,mosaic variegated aneuploidy syndrome
MONDO_0000147,polyposis
MONDO_0000148,"pulmonary fibrosis and/or bone marrow failure, telomere-related"
MONDO_0000151,symphalangism
MONDO_0000152,thiamine-responsive dysfunction syndrome
MONDO_0000153,transposition of the great arteries
MONDO_0000155,triglyceride storage disease
MONDO_0000156,trigonocephaly
MONDO_0000159,bone marrow failure syndrome
MONDO_0000160,"epilepsy, familial adult myoclonic"
MONDO_0000166,"encephalopathy, acute, infection-induced"
MONDO_0000167,Huntington disease and related disorders
MONDO_0000170,"microphthalmia, isolated, with coloboma"
MONDO_0000171,"muscular dystrophy-dystroglycanopathy, type A"
MONDO_0000172,"muscular dystrophy-dystroglycanopathy, type B"
MONDO_0000173,"muscular dystrophy-dystroglycanopathy, type C"
MONDO_0000179,Neu-Laxova syndrome
MONDO_0000181,microcephaly and chorioretinopathy
MONDO_0000182,congenital myasthenic syndrome with tubular aggregates
MONDO_0000188,GLUT1 deficiency syndrome
MONDO_0000190,ventricular fibrillation
MONDO_0000192,polyglucosan body myopathy
MONDO_0000193,cortisone reductase deficiency
MONDO_0000200,Zimmermann-Laband syndrome
MONDO_0000208,"microcephaly, short stature, and impaired glucose metabolism 1"
MONDO_0000209,prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO_0000210,thiopurine metabolic disease
MONDO_0000211,"striatal degeneration, autosomal dominant"
MONDO_0000212,"hypercalcemia, infantile"
MONDO_0000213,"autoimmune disease, multisystem, infantile-onset"
MONDO_0000214,hypermanganesemia with dystonia
MONDO_0000225,human monocytic ehrlichiosis
MONDO_0000226,mineral metabolism disease
MONDO_0000227,African tick-bite fever
MONDO_0000229,Indian tick typhus
MONDO_0000230,Israeli tick typhus
MONDO_0000231,Far eastern spotted fever
MONDO_0000232,Flinders island spotted fever
MONDO_0000233,Japanese spotted fever
MONDO_0000234,Rickettsia parkeri spotted fever
MONDO_0000236,oropharyngeal anthrax
MONDO_0000240,invasive aspergillosis
MONDO_0000241,Keshan disease
MONDO_0000248,dengue shock syndrome
MONDO_0000249,secretory diarrhea
MONDO_0000252,inflammatory diarrhea
MONDO_0000254,cutaneous mycosis
MONDO_0000255,subcutaneous mycosis
MONDO_0000256,systemic mycosis
MONDO_0000257,acute diarrhea
