drug_id,target_id,uniprot_id,drug_name,target_name,pchembl_value
CHEMBL10,CHEMBL1835,P24557,SB-203580,Thromboxane-A synthase,6.31
CHEMBL10,CHEMBL1906,P04049,SB-203580,RAF proto-oncogene serine/threonine-protein kinase,6.48
CHEMBL10,CHEMBL1908387,P62344,SB-203580,Calcium-dependent protein kinase 1,6.07
CHEMBL10,CHEMBL1985,P47871,SB-203580,Glucagon receptor,7.43
CHEMBL10,CHEMBL203,P00533,SB-203580,Epidermal growth factor receptor,6.47
CHEMBL10,CHEMBL215,P09917,SB-203580,Polyunsaturated fatty acid 5-lipoxygenase,7.1
CHEMBL10,CHEMBL2336,P47811,SB-203580,Mitogen-activated protein kinase 14,7.7
CHEMBL10,CHEMBL2553,Q15418,SB-203580,Ribosomal protein S6 kinase alpha-1,6.5
CHEMBL10,CHEMBL260,Q16539,SB-203580,Mitogen-activated protein kinase 14,8.39
CHEMBL10,CHEMBL2637,P53779,SB-203580,Mitogen-activated protein kinase 10,7.6
CHEMBL10,CHEMBL2793,P48729,SB-203580,Casein kinase I isoform alpha,7.12
CHEMBL10,CHEMBL2828,P48730,SB-203580,Casein kinase I isoform delta,7.43
CHEMBL10,CHEMBL3397,P11712,SB-203580,Cytochrome P450 2C9,6.0
CHEMBL10,CHEMBL3622,P33261,SB-203580,Cytochrome P450 2C19,6.1
CHEMBL10,CHEMBL3961,Q15759,SB-203580,Mitogen-activated protein kinase 11,7.92
CHEMBL10,CHEMBL4179,P45984,SB-203580,Mitogen-activated protein kinase 9,7.02
CHEMBL10,CHEMBL4223,P42685,SB-203580,Tyrosine-protein kinase FRK,6.6
CHEMBL10,CHEMBL4312,Q9NRP7,SB-203580,Serine/threonine-protein kinase 36,6.07
CHEMBL10,CHEMBL4355,O14976,SB-203580,Cyclin-G-associated kinase,7.72
CHEMBL10,CHEMBL4527,Q9UKE5,SB-203580,TRAF2 and NCK-interacting protein kinase,6.09
CHEMBL10,CHEMBL4924,Q9UK32,SB-203580,Ribosomal protein S6 kinase alpha-6,6.6
CHEMBL10,CHEMBL4937,P49674,SB-203580,Casein kinase I isoform epsilon,7.2
CHEMBL10,CHEMBL5014,O43353,SB-203580,Receptor-interacting serine/threonine-protein kinase 2,8.0
CHEMBL10,CHEMBL5145,P15056,SB-203580,Serine/threonine-protein kinase B-raf,6.28
CHEMBL10,CHEMBL5169219,O42781,SB-203580,Mitogen-activated protein kinase 2,6.98
CHEMBL10,CHEMBL5319,Q08345,SB-203580,Epithelial discoidin domain-containing receptor 1,6.0
CHEMBL10,CHEMBL5346,P11344,SB-203580,Tyrosinase,7.47
CHEMBL10,CHEMBL5364,Q9UBE8,SB-203580,Serine/threonine-protein kinase NLK,7.6
CHEMBL10,CHEMBL5579,O14578,SB-203580,Citron Rho-interacting kinase,6.38
