drug,disease,jaccard_score,n_connecting_targets
CHEMBL10,EFO_0003060,0.03571428571428571,1
CHEMBL10,EFO_0001071,0.03571428571428571,1
CHEMBL10,EFO_0010116,0.03571428571428571,1
CHEMBL10,EFO_0004995,0.03571428571428571,1
CHEMBL10,MONDO_0005147,0.03571428571428571,1
CHEMBL10,MONDO_0004992,0.03571428571428571,1
CHEMBL10,MONDO_0016660,0.03571428571428571,1
CHEMBL1000,HP_0002017,1.0,1
CHEMBL100116,EFO_0007486,0.25,1
CHEMBL100116,EFO_0022041,0.25,1
CHEMBL100116,EFO_0001356,0.25,1
CHEMBL1002,MONDO_0004979,1.0,1
CHEMBL1002,EFO_0000341,1.0,1
CHEMBL1006,EFO_0000677,1.0,1
CHEMBL1006,EFO_0004895,1.0,1
CHEMBL100749,OBA_1000110,1.0,1
CHEMBL10085,EFO_0007319,0.2,1
CHEMBL10085,HP_0001742,0.4,2
CHEMBL10085,MONDO_0004985,0.2,1
CHEMBL10085,EFO_0008533,0.2,1
CHEMBL10085,HP_0002017,0.2,1
CHEMBL10085,EFO_0000677,0.2,1
CHEMBL10085,EFO_0007214,0.2,1
CHEMBL10085,HP_0012735,0.2,1
CHEMBL10085,HP_0002013,0.2,1
CHEMBL10085,EFO_0003956,0.2,1
CHEMBL10085,EFO_0005751,0.2,1
CHEMBL10085,EFO_0000537,0.2,1
CHEMBL10085,EFO_0003756,0.2,1
CHEMBL10085,EFO_0005252,0.2,1
CHEMBL10085,EFO_0004895,0.2,1
CHEMBL101253,MONDO_0005575,0.1,1
CHEMBL101253,EFO_0000768,0.1,1
CHEMBL101253,EFO_0001645,0.1,1
CHEMBL101253,EFO_0010116,0.1,1
CHEMBL101253,EFO_0005091,0.1,1
CHEMBL101253,MONDO_0014704,0.1,1
CHEMBL101253,MONDO_0032913,0.1,1
CHEMBL101253,EFO_1001901,0.1,1
CHEMBL101253,EFO_0009448,0.1,1
CHEMBL101253,OBA_2050068,0.1,1
CHEMBL101326,EFO_0006788,1.0,1
CHEMBL101326,MONDO_0007079,1.0,1
CHEMBL101326,EFO_0007453,1.0,1
CHEMBL101326,EFO_0004263,1.0,1
CHEMBL1014,EFO_0005058,1.0,1
CHEMBL1014,EFO_0004530,1.0,1
CHEMBL1014,OBA_0003460,1.0,1
CHEMBL1014,EFO_0800371,1.0,1
CHEMBL1016,MONDO_0005148,0.5,1
CHEMBL1016,EFO_0000612,0.5,1
CHEMBL1016,EFO_0003086,0.5,1
CHEMBL1017,MONDO_0005148,0.2,1
CHEMBL1017,EFO_0000612,0.2,1
CHEMBL1017,EFO_0004509,0.2,1
CHEMBL1017,EFO_0003086,0.2,1
CHEMBL101740,HP_0002017,1.0,1
CHEMBL101892,MONDO_0100255,0.5,1
CHEMBL1020,EFO_0005757,0.3333333333333333,1
CHEMBL1020,EFO_0001645,0.3333333333333333,1
CHEMBL1020,EFO_0002609,0.3333333333333333,1
CHEMBL1020,MONDO_0002258,0.3333333333333333,1
CHEMBL1020,HP_0001643,0.3333333333333333,1
CHEMBL1020,EFO_0003956,0.3333333333333333,1
CHEMBL1020,EFO_0000729,0.3333333333333333,1
CHEMBL1020,MONDO_0000831,0.3333333333333333,1
CHEMBL1020,Orphanet_733,0.3333333333333333,1
CHEMBL1020,EFO_1001375,0.3333333333333333,1
CHEMBL1020,EFO_0000712,0.3333333333333333,1
CHEMBL1023,EFO_0002913,0.125,1
CHEMBL10247,OBA_VT0001253,0.3333333333333333,1
CHEMBL1025,EFO_0008546,1.0,1
CHEMBL102714,MONDO_0005301,0.5,2
CHEMBL102714,MONDO_0004985,0.25,1
CHEMBL102714,MONDO_0004975,0.5,2
CHEMBL1029,MONDO_0005148,0.3333333333333333,1
CHEMBL1029,EFO_1000060,0.3333333333333333,1
CHEMBL103,EFO_0007486,0.14285714285714285,1
CHEMBL103,EFO_1001051,0.14285714285714285,1
CHEMBL103,EFO_0000565,0.14285714285714285,1
CHEMBL103,EFO_0005558,0.14285714285714285,1
CHEMBL103,EFO_0003894,0.14285714285714285,1
CHEMBL103,EFO_0000731,0.14285714285714285,1
CHEMBL103,MONDO_0008728,0.14285714285714285,1
CHEMBL103,EFO_0007160,0.14285714285714285,1
CHEMBL103,MONDO_0003937,0.14285714285714285,1
CHEMBL103,MONDO_0001134,0.14285714285714285,1
CHEMBL103,MONDO_0004773,0.14285714285714285,1
CHEMBL103,EFO_0000676,0.14285714285714285,1
CHEMBL103,EFO_0000574,0.14285714285714285,1
CHEMBL103,EFO_0004255,0.14285714285714285,1
CHEMBL103,EFO_0000616,0.14285714285714285,1
CHEMBL103,EFO_0001356,0.14285714285714285,1
CHEMBL103,HP_0006536,0.14285714285714285,1
