string_id,uniprot_id
9606.ENSP00000000233,P26437
9606.ENSP00000000412,A8K528
9606.ENSP00000001008,D3DUQ1
9606.ENSP00000001146,B2R8M7
9606.ENSP00000002125,Q7L592
9606.ENSP00000002165,E9PEB6
9606.ENSP00000002596,B3KUA6
9606.ENSP00000002829,C9JQ85
9606.ENSP00000003084,P13569
9606.ENSP00000003100,A4D1F8
9606.ENSP00000003302,B0YJC0
9606.ENSP00000004531,B7ZL54
9606.ENSP00000004982,O14551
9606.ENSP00000005178,Q16654
9606.ENSP00000005226,E9PNW1
9606.ENSP00000005257,A4D1W3
9606.ENSP00000005260,A4D268
9606.ENSP00000005284,O60359
9606.ENSP00000005286,Q24JP5
9606.ENSP00000005340,D3DTN3
9606.ENSP00000005386,B4DRW9
9606.ENSP00000005587,A4D173
9606.ENSP00000005995,Q9NS34
9606.ENSP00000006015,A4D190
9606.ENSP00000006053,O00672
9606.ENSP00000006275,K7ERB1
9606.ENSP00000006526,B9A049
9606.ENSP00000006658,Q2TA99
9606.ENSP00000006724,A8K848
9606.ENSP00000006777,Q6NTF9
9606.ENSP00000007390,Q6PJT8
9606.ENSP00000007414,D3DTT6
9606.ENSP00000007699,D3DTP1
9606.ENSP00000007735,B2RA87
9606.ENSP00000008391,Q7Z6R9
9606.ENSP00000008527,Q16526
9606.ENSP00000008938,O75594
9606.ENSP00000009041,A4D1X0
9606.ENSP00000009105,Q86UH5
9606.ENSP00000009530,A8K7R1
9606.ENSP00000010299,B4DWT3
9606.ENSP00000011292,A4D1M1
9606.ENSP00000011473,A4D0R2
9606.ENSP00000011619,A0PJA2
9606.ENSP00000011653,B2R737
9606.ENSP00000011898,D3DUQ7
9606.ENSP00000012049,Q53HE4
9606.ENSP00000012443,P53041
9606.ENSP00000013070,Q86U21
9606.ENSP00000013125,A0A0A0MQR1
9606.ENSP00000013222,B8ZZ69
9606.ENSP00000013807,B2RC01
9606.ENSP00000014914,B3KV45
9606.ENSP00000014930,A8K1G2
9606.ENSP00000016171,A8K6I9
9606.ENSP00000016913,F5GX98
9606.ENSP00000016946,Q53QN2
9606.ENSP00000017003,Q6UY41
9606.ENSP00000019103,P47872
9606.ENSP00000020926,A8K4P4
9606.ENSP00000020945,B2R6P6
9606.ENSP00000023064,B2R9A6
9606.ENSP00000023939,E1P5Z9
9606.ENSP00000025008,Q86YR4
9606.ENSP00000025301,O75124
9606.ENSP00000026218,A2IDE1
9606.ENSP00000027335,Q12864
9606.ENSP00000029410,B3KN39
9606.ENSP00000033079,D3DQB5
9606.ENSP00000035307,B2DBD8
9606.ENSP00000037243,O08765
9606.ENSP00000037502,B2RD84
9606.ENSP00000039007,A8K9P2
9606.ENSP00000039989,G3XAB3
9606.ENSP00000040584,A8K4J4
9606.ENSP00000040663,Q8NDC9
9606.ENSP00000040738,Q6P0M8
9606.ENSP00000040877,Q13395
9606.ENSP00000043402,D3DX28
9606.ENSP00000044462,D3DW86
9606.ENSP00000045083,Q5QPB6
9606.ENSP00000046087,A4D253
9606.ENSP00000046794,A8KA25
9606.ENSP00000052754,P07585
9606.ENSP00000053243,Q02223
9606.ENSP00000053468,B2RE89
9606.ENSP00000053469,B3KWT4
9606.ENSP00000053867,D3DX55
9606.ENSP00000054650,Q569K1
9606.ENSP00000054666,Q15836
9606.ENSP00000054668,O95399
9606.ENSP00000054950,B7Z1M1
9606.ENSP00000055077,B5BU07
9606.ENSP00000055335,A2VDJ8
9606.ENSP00000055682,A7YY87
9606.ENSP00000056217,A6NNJ2
9606.ENSP00000056233,Q6NUS0
9606.ENSP00000061240,B2RMU2
9606.ENSP00000064571,A8K0S5
9606.ENSP00000064724,B2R7C1
9606.ENSP00000064778,A2ICY2
9606.ENSP00000064780,Q86V34
9606.ENSP00000070846,A0AV37
9606.ENSP00000072644,B2RCM7
9606.ENSP00000072869,Q7Z695
9606.ENSP00000074304,O15326
9606.ENSP00000075120,B2R606
9606.ENSP00000075503,B2R9T2
9606.ENSP00000078429,O15109
9606.ENSP00000078445,B2R7S6
9606.ENSP00000080059,B3KY08
9606.ENSP00000081029,P82673
9606.ENSP00000083182,A8K862
9606.ENSP00000084798,O60596
9606.ENSP00000085068,Q6ZN91
9606.ENSP00000085219,F5GYU4
9606.ENSP00000086933,O15499
9606.ENSP00000155093,B4DVF7
9606.ENSP00000155840,O00347
9606.ENSP00000155858,A6NHS0
9606.ENSP00000155926,B2R851
9606.ENSP00000156084,B4DGG7
9606.ENSP00000156109,Q59EK5
9606.ENSP00000156471,A0JP17
9606.ENSP00000156626,Q6UW90
9606.ENSP00000157600,B4DG80
9606.ENSP00000157812,P43686
9606.ENSP00000158009,B2R9G6
9606.ENSP00000158762,Q15027
9606.ENSP00000158771,Q9GZP9
9606.ENSP00000159060,Q9HBJ9
9606.ENSP00000159087,A6NIJ0
9606.ENSP00000159111,B9EGN8
9606.ENSP00000160262,P32942
9606.ENSP00000160373,O43389
9606.ENSP00000160382,A4D2D0
9606.ENSP00000160827,B2R5M0
9606.ENSP00000161006,O43342
9606.ENSP00000161559,A6NE38
9606.ENSP00000161863,B2RP66
9606.ENSP00000162044,B3KUE0
9606.ENSP00000162391,A0AVK4
